generation, generated_cans, valid_rate, hypervolume, timestamp
0,9679,1,0.40759,1460509951.76
1,9891,1,0.405065,1460509971.91
2,9775,1,0.406881,1460509992.05
3,9867,1,0.404648,1460510012.19
4,9892,1,0.410516,1460510032.33
5,9941,1,0.406392,1460510052.47
6,9976,1,0.40349,1460510072.6
7,9999,1,0.406854,1460510092.75
8,9839,1,0.407593,1460510112.89
9,9716,1,0.40371,1460510133.01
