generation, evaluations, valid_rate, hypervolume, timestamp
0, 1000, 0.189, 0.30935, 1460497347.14
1, 2000, 0.212, 0.346881, 1460497347.4
2, 3000, 0.196, 0.320696, 1460497347.66
3, 4000, 0.205, 0.320025, 1460497347.92
4, 5000, 0.225, 0.339193, 1460497348.19
5, 6000, 0.198, 0.349239, 1460497348.46
6, 7000, 0.203, 0.326934, 1460497348.72
7, 8000, 0.198, 0.311487, 1460497348.99
8, 9000, 0.205, 0.311213, 1460497349.26
9, 10000, 0.205, 0.314207, 1460497349.53
10, 11000, 0.218, 0.325215, 1460497349.8
11, 12000, 0.217, 0.320141, 1460497350.07
12, 13000, 0.202, 0.341416, 1460497350.34
13, 14000, 0.216, 0.327018, 1460497350.61
14, 15000, 0.174, 0.305434, 1460497350.87
15, 16000, 0.215, 0.313923, 1460497351.13
16, 17000, 0.193, 0.340075, 1460497351.4
17, 18000, 0.209, 0.332418, 1460497351.67
18, 19000, 0.202, 0.33586, 1460497351.93
19, 20000, 0.219, 0.323572, 1460497352.2
20, 21000, 0.201, 0.338107, 1460497352.46
21, 22000, 0.193, 0.344673, 1460497352.74
22, 23000, 0.188, 0.324132, 1460497353.01
23, 24000, 0.18, 0.319341, 1460497353.27
24, 25000, 0.196, 0.32402, 1460497353.53
25, 26000, 0.167, 0.298425, 1460497353.81
26, 27000, 0.2, 0.326444, 1460497354.08
27, 28000, 0.207, 0.3131, 1460497354.35
28, 29000, 0.217, 0.315989, 1460497354.62
29, 30000, 0.22, 0.339188, 1460497354.89
30, 31000, 0.225, 0.332099, 1460497355.16
31, 32000, 0.192, 0.332709, 1460497355.43
32, 33000, 0.196, 0.311241, 1460497355.69
33, 34000, 0.2, 0.336802, 1460497355.96
34, 35000, 0.198, 0.320861, 1460497356.23
35, 36000, 0.187, 0.32803, 1460497356.49
36, 37000, 0.214, 0.326139, 1460497356.76
37, 38000, 0.215, 0.328398, 1460497357.02
38, 39000, 0.208, 0.320198, 1460497357.28
39, 40000, 0.212, 0.320057, 1460497357.54
40, 41000, 0.181, 0.310796, 1460497357.8
41, 42000, 0.194, 0.331794, 1460497358.07
42, 43000, 0.206, 0.323575, 1460497358.33
43, 44000, 0.205, 0.327477, 1460497358.6
44, 45000, 0.183, 0.339474, 1460497358.87
45, 46000, 0.22, 0.329982, 1460497359.13
46, 47000, 0.194, 0.330835, 1460497359.4
47, 48000, 0.219, 0.329278, 1460497359.67
48, 49000, 0.235, 0.337309, 1460497359.94
49, 50000, 0.186, 0.313815, 1460497360.2
50, 51000, 0.201, 0.323856, 1460497360.46
