generation, evaluations, valid_rate, hypervolume, timestamp
0, 1000, 0.041, 0.178821, 1460514780.5
1, 2000, 0.084, 0.179077, 1460514800.9
2, 3000, 0.116, 0.184606, 1460514819.43
3, 4000, 0.156, 0.19201, 1460514838.61
4, 5000, 0.171, 0.194896, 1460514857.13
5, 6000, 0.194, 0.195373, 1460514875.09
6, 7000, 0.211, 0.195464, 1460514893.69
7, 8000, 0.233, 0.200549, 1460514912.37
8, 9000, 0.244, 0.200739, 1460514930.96
9, 10000, 0.249, 0.201333, 1460514949.27
10, 11000, 0.233, 0.206962, 1460514967.95
11, 12000, 0.227, 0.207212, 1460514986.7
12, 13000, 0.239, 0.20747, 1460515004.71
13, 14000, 0.247, 0.207471, 1460515023.14
14, 15000, 0.267, 0.207477, 1460515041.94
15, 16000, 0.266, 0.20774, 1460515060.58
16, 17000, 0.263, 0.207974, 1460515078.82
17, 18000, 0.263, 0.215762, 1460515097.05
18, 19000, 0.254, 0.215875, 1460515115.25
19, 20000, 0.256, 0.215878, 1460515133.9
20, 21000, 0.267, 0.215878, 1460515152.44
21, 22000, 0.258, 0.216081, 1460515170.96
22, 23000, 0.267, 0.216081, 1460515189.6
23, 24000, 0.259, 0.216378, 1460515207.77
24, 25000, 0.252, 0.21638, 1460515226.23
25, 26000, 0.261, 0.216381, 1460515244.38
26, 27000, 0.257, 0.216433, 1460515262.54
27, 28000, 0.258, 0.21662, 1460515280.79
28, 29000, 0.262, 0.219199, 1460515299.34
29, 30000, 0.264, 0.219199, 1460515317.52
30, 31000, 0.261, 0.219251, 1460515335.79
31, 32000, 0.263, 0.219301, 1460515354.56
32, 33000, 0.266, 0.219302, 1460515373.1
33, 34000, 0.261, 0.219303, 1460515391.66
34, 35000, 0.256, 0.219389, 1460515410.06
35, 36000, 0.249, 0.219446, 1460515428.76
36, 37000, 0.254, 0.219501, 1460515447.19
37, 38000, 0.255, 0.219501, 1460515465.74
38, 39000, 0.262, 0.219501, 1460515484.33
39, 40000, 0.257, 0.219501, 1460515503.27
40, 41000, 0.257, 0.219501, 1460515521.52
41, 42000, 0.258, 0.219501, 1460515539.82
42, 43000, 0.254, 0.219552, 1460515558.24
43, 44000, 0.256, 0.219686, 1460515577.26
44, 45000, 0.25, 0.219694, 1460515596.31
45, 46000, 0.252, 0.220022, 1460515615.72
46, 47000, 0.25, 0.220022, 1460515634.3
47, 48000, 0.249, 0.220025, 1460515653.59
48, 49000, 0.25, 0.220025, 1460515672.22
49, 50000, 0.256, 0.22017, 1460515689.4
50, 51000, 0.257, 0.220171, 1460515706.81
