generation, generated_cans, valid_rate, hypervolume, timestamp
0,250,1,0.316312,1460507365
1,233,1,0.315775,1460507386
2,246,1,0.318062,1460507406
3,237,1,0.307455,1460507426
4,235,1,0.315526,1460507446
5,227,1,0.300613,1460507466
6,234,1,0.306598,1460507486
7,220,1,0.318931,1460507506
8,223,1,0.31637,1460507526
9,253,1,0.306856,1460507546
10,254,1,0.477171598,1460507566
11,250,1,0.465864628,1460507586
12,252,1,0.359267033,1460507606
13,250,1,0.444313397,1460507626
14,254,1,0.405597779,1460507646
15,253,1,0.342426089,1460507666
16,250,1,0.410741066,1460507686
17,255,1,0.328974705,1460507706
18,255,1,0.328637389,1460507726
19,250,1,0.305531595,1460507746
20,251,1,0.418130349,1460507766
