generation, evaluations, valid_rate, hypervolume, timestamp
0,1000,0.011,0.183881,1460498657
1,2000,0.024,0.223181,1460498670
2,3000,0.033,0.222357,1460498683
3,4000,0.037,0.227051,1460498697
4,5000,0.038,0.226583,1460498710
5,6000,0.053,0.227742,1460498722
6,7000,0.065,0.229673,1460498735
7,8000,0.073,0.235878,1460498748
8,9000,0.073,0.235888,1460498760
9,10000,0.068,0.236146,1460498773
10,11000,0.075,0.236361,1460498786
11,12000,0.079,0.236722,1460498799
12,13000,0.076,0.237015,1460498811
13,14000,0.085,0.237096,1460498824
14,15000,0.082,0.242879,1460498837
15,16000,0.091,0.243215,1460498849
16,17000,0.09,0.243341,1460498862
17,18000,0.087,0.243249,1460498874
18,19000,0.087,0.243281,1460498887
19,20000,0.092,0.243501,1460498900
20,21000,0.088,0.243138,1460498912
21,22000,0.09,0.243184,1460498925
22,23000,0.091,0.251027,1460498937
23,24000,0.09,0.251114,1460498950
24,25000,0.091,0.251242,1460498962
25,26000,0.099,0.251155,1460498975
26,27000,0.096,0.248529,1460498988
27,28000,0.094,0.243373,1460499000
28,29000,0.092,0.24344,1460499013
29,30000,0.091,0.243217,1460499026
30,31000,0.089,0.243762,1460499039
31,32000,0.091,0.243753,1460499051
32,33000,0.091,0.243951,1460499064
33,34000,0.087,0.244349,1460499077
34,35000,0.092,0.243769,1460499089
35,36000,0.091,0.243498,1460499102
36,37000,0.089,0.242729,1460499115
37,38000,0.091,0.245219,1460499128
38,39000,0.097,0.245688,1460499141
39,40000,0.099,0.245631,1460499153
40,41000,0.089,0.245592,1460499166
41,42000,0.084,0.245323,1460499179
42,43000,0.085,0.246028,1460499192
43,44000,0.085,0.246113,1460499205
44,45000,0.092,0.245458,1460499218
45,46000,0.091,0.247288,1460499231
46,47000,0.09,0.243008,1460499244
47,48000,0.091,0.243016,1460499257
48,49000,0.095,0.243308,1460499270
49,50000,0.094,0.243242,1460499291
50,51000,0.095,0.243413,1460499310
