generation, generated_cans, valid_rate, hypervolume, timestamp
0,60,1,0.471720759,1460509252
1,73,1,0.4642724,1460509273
2,102,1,0.421145816,1460509293
3,143,1,0.367785577,1460509315
4,155,1,0.331677261,1460509337
5,220,1,0.285435706,1460509358
6,233,1,0.219752584,1460509378
7,330,1,0.237523446,1460509399
8,411,1,0.223914463,1460509421
9,632,1,0.443722477,1460509441
10,711,1,0.223980054,1460509461
11,632,1,0.385978458,1460509481
12,700,1,0.498000438,1460509501
13,756,1,0.431868667,1460509521
14,815,1,0.244796413,1460509541
15,763,1,0.428720698,1460509561
16,636,1,0.447508646,1460509581
