generation, generated_cans, valid_rate, hypervolume, timestamp
0,19358,1,0.552051256,1460509952
1,19782,1,0.541017579,1460509972
2,19550,1,0.51405673,1460509992
3,19734,1,0.537273123,1460510012
4,19784,1,0.605287919,1460510032
5,19882,1,0.692413404,1460510052
6,19952,1,0.486252066,1460510073
7,19998,1,0.701596359,1460510093
8,19678,1,0.552836339,1460510113
9,19432,1,0.626016801,1460510133
