generation, evaluations, valid_rate, hypervolume, timestamp
0, 1000, 0.043, 0.183898, 1460503826.62
1, 2000, 0.07, 0.184333, 1460503846.56
2, 3000, 0.097, 0.179317, 1460503865.96
3, 4000, 0.114, 0.182374, 1460503884.59
4, 5000, 0.128, 0.187568, 1460503903.45
5, 6000, 0.132, 0.196106, 1460503921.96
6, 7000, 0.135, 0.193514, 1460503940.6
7, 8000, 0.135, 0.193663, 1460503958.95
8, 9000, 0.14, 0.193237, 1460503977.12
9, 10000, 0.149, 0.193284, 1460503995.08
10, 11000, 0.15, 0.193607, 1460504012.88
11, 12000, 0.147, 0.190558, 1460504030.72
12, 13000, 0.153, 0.199095, 1460504048.8
13, 14000, 0.167, 0.201433, 1460504066.79
14, 15000, 0.184, 0.201989, 1460504084.95
15, 16000, 0.172, 0.201684, 1460504102.93
16, 17000, 0.183, 0.201674, 1460504120.86
17, 18000, 0.17, 0.201751, 1460504138.96
18, 19000, 0.182, 0.207249, 1460504157.1
19, 20000, 0.188, 0.207681, 1460504175.12
20, 21000, 0.203, 0.20805, 1460504193.38
21, 22000, 0.198, 0.199904, 1460504212.03
22, 23000, 0.226, 0.200092, 1460504230.2
23, 24000, 0.222, 0.200143, 1460504248.24
24, 25000, 0.221, 0.200091, 1460504266.33
25, 26000, 0.218, 0.200268, 1460504284.34
26, 27000, 0.21, 0.200229, 1460504302.48
27, 28000, 0.208, 0.20505, 1460504320.5
28, 29000, 0.199, 0.204997, 1460504338.64
29, 30000, 0.197, 0.200273, 1460504356.95
30, 31000, 0.19, 0.200231, 1460504375.02
31, 32000, 0.21, 0.202712, 1460504392.99
32, 33000, 0.208, 0.200154, 1460504411.2
33, 34000, 0.2, 0.200138, 1460504429.45
34, 35000, 0.2, 0.197606, 1460504447.92
35, 36000, 0.19, 0.20013, 1460504697.71
36, 37000, 0.188, 0.200172, 1460504717.22
37, 38000, 0.184, 0.200274, 1460504737.93
38, 39000, 0.188, 0.200572, 1460504757.79
39, 40000, 0.181, 0.200416, 1460504777.64
40, 41000, 0.176, 0.19779, 1460504796.07
41, 42000, 0.178, 0.197199, 1460504815.69
42, 43000, 0.175, 0.197135, 1460504835.54
43, 44000, 0.174, 0.197353, 1460504855.07
44, 45000, 0.171, 0.199778, 1460504874.31
45, 46000, 0.166, 0.199256, 1460504893.57
46, 47000, 0.166, 0.197893, 1460504912.41
47, 48000, 0.174, 0.197887, 1460504930.82
48, 49000, 0.155, 0.19355, 1460504949.16
49, 50000, 0.168, 0.188272, 1460504969.42
50, 51000, 0.163, 0.195785, 1460504989.06
