generation, evaluations, valid_rate, hypervolume, timestamp
0, 300, 0.0533333333333, 0.17063, 1460496401.35
1, 600, 0.0466666666667, 0.16713, 1460496404.5
2, 900, 0.07, 0.167867, 1460496407.61
3, 1200, 0.0666666666667, 0.164079, 1460496410.72
4, 1500, 0.0366666666667, 0.155296, 1460496414.17
5, 1800, 0.02, 0.164919, 1460496417.31
6, 2100, 0.0166666666667, 0.154894, 1460496420.49
7, 2400, 0.0433333333333, 0.160218, 1460496423.63
8, 2700, 0.0566666666667, 0.171411, 1460496426.81
9, 3000, 0.0366666666667, 0.160228, 1460496429.96
10, 3300, 0.03, 0.150478, 1460496433.13
11, 3600, 0.0233333333333, 0.162636, 1460496436.27
12, 3900, 0.05, 0.156212, 1460496439.43
13, 4200, 0.0233333333333, 0.1521, 1460496442.62
14, 4500, 0.0366666666667, 0.159928, 1460496445.75
15, 4800, 0.0566666666667, 0.166303, 1460496448.89
16, 5100, 0.05, 0.161298, 1460496452.05
17, 5400, 0.0733333333333, 0.165536, 1460496455.21
18, 5700, 0.0466666666667, 0.152805, 1460496458.37
19, 6000, 0.0366666666667, 0.169345, 1460496461.53
20, 6300, 0.06, 0.167647, 1460496464.66
