generation, generated_cans, valid_rate, hypervolume, timestamp
0,30,1,0.222375,1460509252.24
1,24,1,0.223746,1460509272.87
2,24,1,0.237465,1460509292.9
3,21,1,0.23762,1460509315.07
4,26,1,0.220374,1460509336.77
5,27,1,0.242081,1460509357.68
6,33,1,0.24056,1460509378.06
7,31,1,0.224685,1460509398.7
8,38,1,0.242508,1460509420.63
9,33,1,0.225401,1460509441.3
