generation, evaluations, valid_rate, hypervolume, timestamp
0, 1000, 0.196, 0.329797, 1460513473.49
1, 2000, 0.314, 0.354516, 1460513484.32
2, 3000, 0.329, 0.370054, 1460513492.82
3, 4000, 0.334, 0.375372, 1460513501.51
4, 5000, 0.343, 0.37948, 1460513510.13
5, 6000, 0.357, 0.385388, 1460513518.94
6, 7000, 0.357, 0.389959, 1460513527.52
7, 8000, 0.371, 0.39117, 1460513536.23
8, 9000, 0.389, 0.392557, 1460513545.15
9, 10000, 0.397, 0.393382, 1460513554.02
10, 11000, 0.401, 0.395101, 1460513562.79
11, 12000, 0.403, 0.396516, 1460513571.51
12, 13000, 0.411, 0.39732, 1460513580.14
13, 14000, 0.419, 0.405356, 1460513588.91
14, 15000, 0.409, 0.40543, 1460513597.97
15, 16000, 0.393, 0.406816, 1460513607.05
16, 17000, 0.399, 0.409095, 1460513616.32
17, 18000, 0.408, 0.409243, 1460513625.18
18, 19000, 0.406, 0.409686, 1460513634.16
19, 20000, 0.395, 0.41092, 1460513642.94
20, 21000, 0.388, 0.411521, 1460513651.58
21, 22000, 0.393, 0.412145, 1460513660.31
22, 23000, 0.391, 0.412398, 1460513669.17
23, 24000, 0.396, 0.4126, 1460513677.97
24, 25000, 0.4, 0.41328, 1460513686.88
25, 26000, 0.401, 0.413526, 1460513695.78
26, 27000, 0.404, 0.414062, 1460513704.71
27, 28000, 0.4, 0.414251, 1460513713.62
28, 29000, 0.404, 0.414265, 1460513722.45
29, 30000, 0.406, 0.414764, 1460513731.27
30, 31000, 0.398, 0.415224, 1460513740.39
31, 32000, 0.4, 0.41568, 1460513749.62
32, 33000, 0.404, 0.415719, 1460513758.96
33, 34000, 0.404, 0.416754, 1460513768.12
34, 35000, 0.405, 0.417159, 1460513777.15
35, 36000, 0.41, 0.417165, 1460513786.28
36, 37000, 0.41, 0.417293, 1460513796.0
37, 38000, 0.41, 0.418671, 1460513805.32
38, 39000, 0.413, 0.418693, 1460513814.73
39, 40000, 0.413, 0.419216, 1460513823.85
40, 41000, 0.419, 0.41991, 1460513832.95
41, 42000, 0.42, 0.419912, 1460513842.21
42, 43000, 0.421, 0.419925, 1460513851.41
43, 44000, 0.427, 0.420813, 1460513860.58
44, 45000, 0.431, 0.420956, 1460513869.83
45, 46000, 0.435, 0.421114, 1460513878.98
46, 47000, 0.442, 0.424135, 1460513888.12
47, 48000, 0.456, 0.42426, 1460513897.55
48, 49000, 0.451, 0.424531, 1460513906.73
49, 50000, 0.445, 0.424779, 1460513916.04
50, 51000, 0.449, 0.424819, 1460513925.28
