generation, evaluations, valid_rate, hypervolume, timestamp
0, 1000, 0.011, 0.191345, 1460514143.65
1, 2000, 0.021, 0.207035, 1460514157.56
2, 3000, 0.037, 0.208007, 1460514169.79
3, 4000, 0.06, 0.209094, 1460514182.24
4, 5000, 0.072, 0.209524, 1460514194.49
5, 6000, 0.084, 0.236844, 1460514206.72
6, 7000, 0.096, 0.237071, 1460514219.42
7, 8000, 0.11, 0.237906, 1460514231.56
8, 9000, 0.117, 0.243962, 1460514243.76
9, 10000, 0.121, 0.244118, 1460514256.46
10, 11000, 0.121, 0.244296, 1460514268.73
11, 12000, 0.124, 0.244413, 1460514280.92
12, 13000, 0.131, 0.244459, 1460514293.28
13, 14000, 0.137, 0.24461, 1460514305.45
14, 15000, 0.134, 0.244656, 1460514317.89
15, 16000, 0.146, 0.245007, 1460514330.27
16, 17000, 0.153, 0.245157, 1460514342.6
17, 18000, 0.157, 0.245157, 1460514355.0
18, 19000, 0.157, 0.245207, 1460514367.3
19, 20000, 0.164, 0.24545, 1460514379.77
20, 21000, 0.167, 0.245452, 1460514392.37
21, 22000, 0.168, 0.245452, 1460514404.99
22, 23000, 0.172, 0.245507, 1460514417.59
23, 24000, 0.183, 0.247938, 1460514430.46
24, 25000, 0.178, 0.24794, 1460514443.28
25, 26000, 0.185, 0.247944, 1460514456.01
26, 27000, 0.189, 0.247949, 1460514468.64
27, 28000, 0.197, 0.248286, 1460514481.45
28, 29000, 0.197, 0.248345, 1460514494.03
29, 30000, 0.196, 0.250992, 1460514507.11
30, 31000, 0.2, 0.251305, 1460514519.87
31, 32000, 0.205, 0.251731, 1460514532.94
32, 33000, 0.202, 0.251826, 1460514545.38
33, 34000, 0.198, 0.251827, 1460514557.57
34, 35000, 0.194, 0.251986, 1460514569.91
35, 36000, 0.197, 0.251986, 1460514582.86
36, 37000, 0.202, 0.252031, 1460514595.16
37, 38000, 0.202, 0.252032, 1460514607.74
38, 39000, 0.2, 0.255516, 1460514619.98
39, 40000, 0.203, 0.255517, 1460514632.27
40, 41000, 0.197, 0.25557, 1460514644.75
41, 42000, 0.198, 0.255579, 1460514657.39
42, 43000, 0.198, 0.255579, 1460514669.9
43, 44000, 0.202, 0.25558, 1460514682.44
44, 45000, 0.2, 0.25558, 1460514694.91
45, 46000, 0.204, 0.25558, 1460514707.42
46, 47000, 0.204, 0.255855, 1460514720.14
47, 48000, 0.205, 0.255911, 1460514732.57
48, 49000, 0.207, 0.255913, 1460514744.81
49, 50000, 0.216, 0.256019, 1460514757.21
50, 51000, 0.214, 0.256079, 1460514769.76
