generation, evaluations, valid_rate, hypervolume, timestamp
0, 300, 0.00666666666667, 0.144768, 1460496302.2
1, 600, 0.0133333333333, 0.148288, 1460496303.31
2, 900, 0.0133333333333, 0.186152, 1460496304.42
3, 1200, 0.01, 0.203018, 1460496305.53
4, 1500, 0.02, 0.189612, 1460496306.65
5, 1800, 0.01, 0.171115, 1460496307.76
6, 2100, 0.0133333333333, 0.158406, 1460496308.88
7, 2400, 0.0133333333333, 0.207364, 1460496310.01
8, 2700, 0.02, 0.17043, 1460496311.13
9, 3000, 0.0133333333333, 0.19707, 1460496312.24
10, 3300, 0.03, 0.214893, 1460496313.37
11, 3600, 0.02, 0.18591, 1460496314.48
12, 3900, 0.01, 0.170072, 1460496315.59
13, 4200, 0.01, 0.169364, 1460496316.7
14, 4500, 0.00666666666667, 0.16267, 1460496317.82
15, 4800, 0.0133333333333, 0.196408, 1460496318.94
16, 5100, 0.00666666666667, 0.16508, 1460496320.05
17, 5400, 0.01, 0.172535, 1460496321.17
18, 5700, 0.00666666666667, 0.167912, 1460496322.31
19, 6000, 0.0133333333333, 0.173579, 1460496323.43
20, 6300, 0.01, 0.1743, 1460496324.54
