generation, valids, hypervolume
0, 0.23, 0.267584
1, 0.35, 0.284923
2, 0.37, 0.291767
3, 0.38, 0.294235
4, 0.37, 0.307664
5, 0.37, 0.307636
6, 0.36, 0.309293
7, 0.37, 0.311175
8, 0.35, 0.309972
9, 0.38, 0.339249
10, 0.41, 0.348342
