MODEL,HV,Spread,valid pop
webportal,0.297,0.612,64
webportal,0.291,0.66,62
webportal,0.299,0.597,65
webportal,0.292,0.647,62
webportal,0.266,0.606,58
webportal,0.299,0.63,65
webportal,0.299,0.611,65
webportal,0.266,0.54,57
webportal,0.266,0.606,58
webportal,0.297,0.584,64
eshop,0.254,0.619,72
eshop,0.252,0.632,67
eshop,0.254,0.596,67
eshop,0.254,0.613,71
eshop,0.252,0.638,62
eshop,0.252,0.745,65
eshop,0.252,0.737,65
eshop,0.252,0.649,64
eshop,0.253,0.631,66
eshop,0.252,0.646,65
toybox,0.19,0.647,68
toybox,0.19,0.594,68
toybox,0.188,0.527,62
toybox,0.188,0.618,63
toybox,0.19,0.627,67
toybox,0.19,0.591,64
toybox,0.19,0.561,66
toybox,0.19,0.591,67
toybox,0.19,0.6,64
toybox,0.19,0.648,68
uClinux,0.211,0.911,61
uClinux,0.212,1.028,60
uClinux,0.211,0.946,60
uClinux,0.212,0.982,59
uClinux,0.205,0.8,46
uClinux,0.211,0.944,58
uClinux,0.211,0.989,64
uClinux,0.205,0.8,46
uClinux,0.205,0.8,46
uClinux,0.212,0.993,61
